file_name,title_ch,journal_year,candidate_passages,minimum_string_distance,notes,target_strings,matching_strings,context_examples,execution_or_custody_passages,brain_death_passages,death_determination_passages,cardiorespiratory_arrest_passages,airway_or_ventilation_passages,consent_or_family_passages,donation_system_passages,donor_language_passages
0850.txt,心脏死亡器官捐献供体肝脏移植系统的建立和评价(附73例报告),2016,1,0.49604736932103,,供者行气管插管,行腹主动脉插管,合上方，横切口经脐水平至两侧腋中线。入腹后剪开肝圆韧带及镰状韧带，将消毒冰屑撒在肝脏及双肾表面降温的同时，迅速判断是否适宜作供肝使用。然后先行腹主动脉插管灌注肾脏保存液3000mL＋UW液（施尔生，GenzymePolyclonalsS．A．S．，法国）500mL，依靠重力灌注，灌,0,0,0,0,1,0,0,1
0895.txt,心脏死亡器官捐献中器官获取的手术技巧,2016,2,0.49604736932103,,供者行气管插管 | 供肺切取:供体气管插管,行下腔静脉插管 | 性供肝”，尽管它使供体,而低压灌注会导致灌注不良[10]。下腔静脉通畅的引流是充分有效灌注的必要条件，同时可保持术野清晰，尤其是针对肝脏热缺血时间较长的供者，可以先行下腔静脉插管引流减压，以避免循环衰竭后对肝脏有害的物质堵塞在肝脏，流出道引流管不要插入太深，其管口应位于肾静脉开口水平以下，以免压迫右肾动脉 || 心跳供者，可同时保护肝肾器官的质量，获取方法简单快捷、安全可靠[16]，近期移植疗效满意，值得在临床上推广。目前，DCD供肝仍然被视为“边缘性供肝”，尽管它使供体数量总体上增加了10％~20％[17]，但其发生原发性移植肝无功能及移植肝功能障碍的风险仍较大。总之，在DCD器官切取手,0,0,0,0,2,0,0,2
1169.txt,1例再次肺移植治疗重度原发性移植物功能丧失患者的护理,2016,11,0.198216274262727,,"气管切开气管插管 | 脑死亡后,气管插管 | 脑死亡后迅速气管插管 | 脑死亡后插入气管导管 | 供体平卧位，气管插管 | 脑死亡后,紧急气管插管 | 供者平卧位,气管插管 | 供体心肺的切取气管插管 | 脑死亡后立即气管内插管给氧 | 供心的切取供体气管插管后 | 供肺切取:供体气管插管",口气管插管，拔管 | 口气管插管，拔管后 | 经口气管插管，拔管后 | 除经口气管插管，拔管 | 除经口气管插管，拔管后 | 除经口气管插管，拔管后采用 | 除经口气管插管，拔管后采,通气治疗提供了极其重要的保证［12］。两次移植术后当日行纤维支气管镜检查，可见呼吸道黏膜充血水肿、气道大量黄色水肿液。术后第6天，顺利拔除经口气管插管，拔管后采用经鼻高流量临床实践1273CMYK_x000C_第49卷第1期2014年中华护理杂志ChinJNurs，October2016，Vo || 械通气治疗提供了极其重要的保证［12］。两次移植术后当日行纤维支气管镜检查，可见呼吸道黏膜充血水肿、气道大量黄色水肿液。术后第6天，顺利拔除经口气管插管，拔管后采用经鼻高流量临床实践1273CMYK_x000C_第49卷第1期2014年中华护理杂志ChinJNurs，October2016，V || 机械通气治疗提供了极其重要的保证［12］。两次移植术后当日行纤维支气管镜检查，可见呼吸道黏膜充血水肿、气道大量黄色水肿液。术后第6天，顺利拔除经口气管插管，拔管后采用经鼻高流量临床实践1273CMYK_x000C_第49卷第1期2014年中华护理杂志ChinJNurs，October2016，,0,5,0,0,11,0,0,5
1449.txt,心脏移植术44例的规范护理配合体会,2016,1,0.452277442494834,,快速胸部正中切口进胸,用后，行胸骨正中切口,管理，协助ECMO手术者仔细固定导管。（2）器械护士于手术开始前半小时，洗手上台整理所有手术台上的物品，协助医生常规消毒铺巾。医生确认供心可用后，行胸骨正中切口，建立体外循环，切除患者病变心脏，在0℃0．9％氯化钠溶液中进行修剪供心，减少心肌耗氧量，有利于心脏的复搏。吻合前经主动脉,0,0,0,0,0,0,0,1
2174.txt,肺移植手术体外膜肺氧合患者术后死亡的因素分析,2016,2,0.494818514459077,,脑死亡后插入气管导管 | 供者行气管插管,导丝引导下置入导管后 | 动脉供血管进行,使用ＥＣＭＯ术中支持。使用美敦力（美国）或迈柯唯（德国）涂层套包，预充乳酸钠溶液并加入白蛋白20g。股动静脉采用肝素涂层插管，于直视下切开，导丝引导下置入导管后固定。常规监测ＥＣＭＯ流量、转速、体温、水温、ＡＣＴ、下肢血供、足背动脉搏动、氧合器血浆渗漏和泵头血栓情况，常规监测患者血 || 股动静脉插管的远端因血流缓慢容易造成血栓的形成。动脉奢灌、充血，股静脉插管远端静脉回流相对不畅，可能是发生肢体不良反应的主要原因。通过对分支动脉供血管进行控制，可以降低插管侧股浅动脉流量，减缓、阻止肢体肿胀加重［8］。综上所述，影响ＥＣＭＯ死亡的因素有术前的心功能分级差、低心指数、,0,1,0,0,2,0,0,1
2202.txt,心脏死亡器官捐献肝移植的供体功能维护,2016,15,0.25,,"供体平卧位，气管插管 | 供者气管插管 | 气管切开气管插管 | 供体手术气管插管通气 | 供者行气管插管 | 供肺切取:供体气管插管 | 供体心肺的切取气管插管 | 供心的切取供体气管插管后 | 供体手术气管插管 | 供者平卧位,气管插管 | 供心保护脑死亡后用麻醉机维持呼吸 | 经气管切开气管插管建立人工呼吸 | 脑死亡后,气管插管 | 脑死亡后迅速气管插管 | 脑死亡后插入气管导管",供体器官，如气管插管 | ，如气管插管 | 器官，如气管插管 | 官，如气管插管 | 害供体器官，如气管插管 | 损害供体器官，如气管插管 | 心脏死亡器官捐献供体维护脑死亡后 | 管插管准备、暴露血管、血管插管 | 体器官，如气管插管 | 管插管准备、暴露血管,所引起的损害，可采取补充甲状腺素、肾上腺皮质激素，抗凝血、升血压、维持水电解质平衡和机械正压通气等措施。在器官维护过程中治疗处理不当也会损害供体器官，如气管插管过深、过度脱水导致的容量不足、大剂量甘露醇使用后的肾损伤、气道护理不当、呼吸及参数调节不当、无菌操作不严、长期大量使用升压 || 损害，可采取补充甲状腺素、肾上腺皮质激素，抗凝血、升血压、维持水电解质平衡和机械正压通气等措施。在器官维护过程中治疗处理不当也会损害供体器官，如气管插管过深、过度脱水导致的容量不足、大剂量甘露醇使用后的肾损伤、气道护理不当、呼吸及参数调节不当、无菌操作不严、长期大量使用升压药物等。 || 起的损害，可采取补充甲状腺素、肾上腺皮质激素，抗凝血、升血压、维持水电解质平衡和机械正压通气等措施。在器官维护过程中治疗处理不当也会损害供体器官，如气管插管过深、过度脱水导致的容量不足、大剂量甘露醇使用后的肾损伤、气道护理不当、呼吸及参数调节不当、无菌操作不严、长期大量使用升压药物 || 的损害，可采取补充甲状腺素、肾上腺皮质激素，抗凝血、升血压、维持水电解质平衡和机械正压通气等措施。在器官维护过程中治疗处理不当也会损害供体器官，如气管插管过深、过度脱水导致的容量不足、大剂量甘露醇使用后的肾损伤、气道护理不当、呼吸及参数调节不当、无菌操作不严、长期大量使用升压药物等 || 化所引起的损害，可采取补充甲状腺素、肾上腺皮质激素，抗凝血、升血压、维持水电解质平衡和机械正压通气等措施。在器官维护过程中治疗处理不当也会损害供体器官，如气管插管过深、过度脱水导致的容量不足、大剂量甘露醇使用后的肾损伤、气道护理不当、呼吸及参数调节不当、无菌操作不严、长期大量使用升,0,4,0,0,15,0,1,15
2243.txt,一例同种异体肺移植术的护理配合体会,2016,4,0.377200844670782,,"供肺切取:供体气管插管 | 进行供心、肺切取,吸净气管分泌物,气管插管给氧 | 供体全身肝素化后，仰卧位，经口气管内插管 | 供心的切取供体气管插管后",闭气管并切断，取出供肺 | 气管、取出病肺。冲洗供肺气管，分别吻合支气管、 | 冲洗供肺气管，吸引器吸净气管内液体后，4 | 钳夹闭气管并切断，取出供,水予肺表面降温。肺动脉缝荷包置灌注管路，将左心耳和下腔静脉剪口，开始灌注。剪断上腔静脉和主动脉。麻醉医生吸痰膨肺，当肺处在膨胀状态时长弯钳夹闭气管并切断，取出供肺，置于无菌冰水盆中。予肺动脉、肺静脉开口正逆交替停止肺动脉灌注，直至回流液清亮无色。修剪供肺，游离肺动脉、肺静脉、支气管 || 5肋间沿第6肋上缘开胸。进入胸腔转为右肺通气，分离心包处胸膜，至肺门剪开心包露出肺动脉，并游离出肺静脉。切断肺静脉、分离并剪断肺动脉、切断支气管、取出病肺。冲洗供肺气管，分别吻合支气管、肺动脉、肺静脉，放置胸腔闭式引流后鼓肺。开放肺动脉，肺静脉排气后吻合口打结，彻底止血，缝合切口。 || 分离至肺门，血管切割闭合器切断肺静脉，递0号丝线牵引肺动脉，2把阻断钳阻断肺动脉并剪断，电刀切断支气管，取出病肺。递球式注洗器吸取黏膜消毒液冲洗供肺气管，吸引器吸净气管内液体后，4-0PDS缝合支气管，继而，4-0PDS缝合线间断缝合气管外组织，包住气管。5-0Prolene缝合肺 || 冰盐水予肺表面降温。肺动脉缝荷包置灌注管路，将左心耳和下腔静脉剪口，开始灌注。剪断上腔静脉和主动脉。麻醉医生吸痰膨肺，当肺处在膨胀状态时长弯钳夹闭气管并切断，取出供肺，置于无菌冰水盆中。予肺动脉、肺静脉开口正逆交替停止肺动脉灌注，直至回流液清亮无色。修剪供肺，游离肺动脉、肺静脉、支,0,0,0,0,4,0,0,4
2370.txt,2例濒危状态终末期肺病患者双肺移植围术期护理体会,2016,14,0.125,,"供者气管插管 | 供者行气管插管 | 脑死亡后,紧急气管插管 | 脑死亡后迅速气管插管 | 脑死亡后插入气管导管 | 脑死亡后,气管插管 | 供者平卧位,气管插管 | 供体平卧位，气管插管 | 脑死亡后气管紧急插管,纯氧通气 | 脑死亡后用麻醉机维持呼吸 | 供体全身肝素化后，仰卧位，经口气管内插管 | 脑死亡后，用麻醉机维持呼吸 | 供体心肺的切取气管插管 | 供肺切取:供体气管插管",者，气管插管 | 献者，气管插管 | 脑死亡捐献者，气管插管 | 死亡捐献者，气管插管 | 亡捐献者，气管插管 | 脑死亡捐献者，气管插管呼吸机支 | 后维持气管切开呼吸机支持 | 供体，49岁男性，脑死亡捐献者，气管插管 | h，术后维持气管切开呼吸机 | 腔气管插管全麻下行双肺,酸血症（PaCO2＞80mmHg）及昏迷，在ICU机械通气维持呼吸20d后行双肺移植。1．2供体情况例1“O”型供体，44岁男性，脑死亡捐献者，气管插管呼吸机支持5d，经评估氧合指数＞400，期间曾因发热血象高于泰能抗感染治疗，无吸烟史。例2“O”型供体，49岁男性，脑死亡捐献者， || 碳酸血症（PaCO2＞80mmHg）及昏迷，在ICU机械通气维持呼吸20d后行双肺移植。1．2供体情况例1“O”型供体，44岁男性，脑死亡捐献者，气管插管呼吸机支持5d，经评估氧合指数＞400，期间曾因发热血象高于泰能抗感染治疗，无吸烟史。例2“O”型供体，49岁男性，脑死亡捐献者 || 在严重高碳酸血症（PaCO2＞80mmHg）及昏迷，在ICU机械通气维持呼吸20d后行双肺移植。1．2供体情况例1“O”型供体，44岁男性，脑死亡捐献者，气管插管呼吸机支持5d，经评估氧合指数＞400，期间曾因发热血象高于泰能抗感染治疗，无吸烟史。例2“O”型供体，49岁男性，脑死 || 严重高碳酸血症（PaCO2＞80mmHg）及昏迷，在ICU机械通气维持呼吸20d后行双肺移植。1．2供体情况例1“O”型供体，44岁男性，脑死亡捐献者，气管插管呼吸机支持5d，经评估氧合指数＞400，期间曾因发热血象高于泰能抗感染治疗，无吸烟史。例2“O”型供体，49岁男性，脑死亡 || 重高碳酸血症（PaCO2＞80mmHg）及昏迷，在ICU机械通气维持呼吸20d后行双肺移植。1．2供体情况例1“O”型供体，44岁男性，脑死亡捐献者，气管插管呼吸机支持5d，经评估氧合指数＞400，期间曾因发热血象高于泰能抗感染治疗，无吸烟史。例2“O”型供体，49岁男性，脑死亡捐,0,14,0,0,14,0,12,14
2401.txt,146例脑死亡器官捐献心脏移植手术期管理,2016,4,0.422649730810374,,供心的切取供体气管插管后 | 快速胸部正中切口进胸 | 供心切取配合..气管插管 | 供体心肺的切取气管插管,体的处理方法：供心切取后 | 毒铺巾，胸骨正中切口 | 死亡供心获取中的配合与管 | 亡供心获取中的配合与管,动脉根部顺行灌注冷心肌保护液，并维持速度和压力，使心肌得到有效灌注并均匀降温。同时倒0~4℃无菌0．9％氯化钠降低心脏表面温度。转运过程中具体的处理方法：供心切取后立即置入盛有4℃ＨＴＫ液的无菌标本袋内，排除袋内空气，扎紧袋口，再将此袋放入第2个盛有冰泥的无菌标本袋并扎紧，最后置于 || 例，心脏肿瘤4例，先天性心脏病15例。术前心功能均为ＮＹＨＡ－Ⅳ级，内科保守治疗无效，预期寿命＜1年。1．2供心获取术捐献者取平卧位，常规消毒铺巾，胸骨正中切口入路，纵行劈开胸骨，倒Ｔ型切开心包显露心脏。阻断升主动脉，于阻断钳近端插针灌注冷晶体停搏液1000ml，同时剪开右上肺静脉 || 内开展ＤＢＤ心脏移植的例数和经验仍十分有限。同以往传统供心相比，脑死亡供体术前状况及获取时机存在更多影响因素，术中处理存在其特殊性。因此对脑死亡供心获取中的配合与管理，移植术中病情观察和护理需要探讨与总结。1临床资料1．1一般资料回顾性分析2013－01－2015－07在我院实施的 || 开展ＤＢＤ心脏移植的例数和经验仍十分有限。同以往传统供心相比，脑死亡供体术前状况及获取时机存在更多影响因素，术中处理存在其特殊性。因此对脑死亡供心获取中的配合与管理，移植术中病情观察和护理需要探讨与总结。1临床资料1．1一般资料回顾性分析2013－01－2015－07在我院实施的1,0,2,0,0,3,0,1,4
2460.txt,离体肺灌注技术在肺移植中的应用进展,2016,18,0.25,,"供者气管插管 | 供体手术气管插管通气 | 气管切开气管插管 | 供者行气管插管 | 脑死亡后迅速气管插管进行机械通气 | 供体手术气管插管 | 脑死亡后,气管插管 | 供体平卧位，气管插管 | 供体心肺的切取气管插管 | 脑死亡后迅速气管插管 | 脑死亡后插入气管导管 | 供者平卧位,气管插管 | 供肺切取:供体气管插管 | 脑死亡后气管紧急插管,纯氧通气 | 经气管切开气管插管建立人工呼吸 | 脑死亡后,紧急气管插管 | 脑死亡后立即气管内插管给氧 | 供体心肺的获取和保护..行气管插管通气",肺部气管插管 | 部气管插管和机械通气 | 给予肺部气管插管 | 予肺部气管插管 | 式，并给予肺部气管插管和机械通气 | 气管插管和机械通气 | ，并给予肺部气管插管 | 肺部气管插管和机械通气 | 肺评估供肺运输供肺供体 | ，并给予肺部气管插管和机械通气 | 给予肺部气管插管和机械通气 | 灌注方式，并给予肺部气管插管和机械通气,势是使细胞保持活跃的代谢功能，从而为离体保存期间持续评估肺功能提供便利[18]。目前采用的EVLP的灌注装置模拟生理状态下的灌注方式，并给予肺部气管插管和机械通气等支持手段。利用多种传感器测量EVLP系统中的多种参数，包括肺动静脉气体分压、pH、温度、流量、灌注压、通气参数等，此外 || 是使细胞保持活跃的代谢功能，从而为离体保存期间持续评估肺功能提供便利[18]。目前采用的EVLP的灌注装置模拟生理状态下的灌注方式，并给予肺部气管插管和机械通气等支持手段。利用多种传感器测量EVLP系统中的多种参数，包括肺动静脉气体分压、pH、温度、流量、灌注压、通气参数等，此外， || 大优势是使细胞保持活跃的代谢功能，从而为离体保存期间持续评估肺功能提供便利[18]。目前采用的EVLP的灌注装置模拟生理状态下的灌注方式，并给予肺部气管插管和机械通气等支持手段。利用多种传感器测量EVLP系统中的多种参数，包括肺动静脉气体分压、pH、温度、流量、灌注压、通气参数等， || 优势是使细胞保持活跃的代谢功能，从而为离体保存期间持续评估肺功能提供便利[18]。目前采用的EVLP的灌注装置模拟生理状态下的灌注方式，并给予肺部气管插管和机械通气等支持手段。利用多种传感器测量EVLP系统中的多种参数，包括肺动静脉气体分压、pH、温度、流量、灌注压、通气参数等，此 || 注的一大优势是使细胞保持活跃的代谢功能，从而为离体保存期间持续评估肺功能提供便利[18]。目前采用的EVLP的灌注装置模拟生理状态下的灌注方式，并给予肺部气管插管和机械通气等支持手段。利用多种传感器测量EVLP系统中的多种参数，包括肺动静脉气体分压、pH、温度、流量、灌注压、通气参,0,7,0,0,18,0,0,9
